,mono,pdc,cdc
1261,GO_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,GSE28237_FOLLICULAR_VS_EARLY_GC_BCELL_UP,GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP
1262,GSE17721_4H_VS_24H_POLYIC_BMDC_UP,GO_REGULATION_OF_VIRAL_TRANSCRIPTION,GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_UP
1263,GSE20715_0H_VS_6H_OZONE_LUNG_UP,GO_GLUCAN_METABOLIC_PROCESS,GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT
1264,GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP,GO_EPITHELIAL_CELL_PROLIFERATION
1265,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP,GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP,GO_ACTIVATION_OF_MAPKK_ACTIVITY
1266,GSE21670_TGFB_VS_IL6_TREATED_CD4_TCELL_UP,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP,GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_UP
1267,GO_PHOSPHOLIPID_TRANSPORT,GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_24H_IFNG_STIM_UP,GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_UP
1268,GO_BIOMINERAL_TISSUE_DEVELOPMENT,GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDC_UP,GSE21546_UNSTIM_VS_ANTI_CD3_STIM_DP_THYMOCYTES_UP
1269,GO_REGULATION_OF_ADHERENS_JUNCTION_ORGANIZATION,GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_MAC_UP,GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP
1270,GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL,GSE15659_NAIVE_CD4_TCELL_VS_RESTING_TREG_UP,GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION
1271,GSE22103_UNSTIM_VS_LPS_STIM_NEUTROPHIL_UP,GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA5_STIM_CD8_TCELL_UP,GSE6259_BCELL_VS_CD4_TCELL_UP
1272,GO_POSITIVE_REGULATION_OF_ANION_TRANSPORT,GO_POSITIVE_REGULATION_OF_OSSIFICATION,GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP
1273,GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP,GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_UP
1274,GO_EMBRYONIC_HEART_TUBE_MORPHOGENESIS,GSE24210_IL35_TREATED_VS_RESTING_TREG_UP,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP
1275,GSE22025_PROGESTERONE_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP,GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_UP,GSE5142_CTRL_VS_HTERT_TRANSDUCED_CD8_TCELL_EARLY_PASSAGE_CLONE_UP
1276,GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_UP,GSE18148_CBFB_KO_VS_WT_TREG_UP,GSE17974_0H_VS_2H_IN_VITRO_ACT_CD4_TCELL_UP
1277,GSE17721_POLYIC_VS_GARDIQUIMOD_1H_BMDC_UP,GO_ALPHA_BETA_T_CELL_ACTIVATION,GO_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS
1278,GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,GSE21927_SPLEEN_VS_BONE_MARROW_MONOCYTE_BALBC_UP,GSE29618_BCELL_VS_MONOCYTE_UP
1279,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_UP,GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP,GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_UP
1280,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_UP,GSE43863_TH1_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP,GSE3982_EOSINOPHIL_VS_TH2_UP
1281,GSE22886_IL2_VS_IL15_STIM_NKCELL_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_6H_ACT_CD4_TCELL_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_UP
1282,GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_UP,GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP
1283,GO_NEURAL_TUBE_FORMATION,GSE360_L_MAJOR_VS_M_TUBERCULOSIS_DC_UP,GSE21379_WT_VS_SAP_KO_CD4_TCELL_UP
1284,GO_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION,GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_UP,GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_UP
1285,GSE1925_3H_VS_24H_IFNG_STIM_IFNG_PRIMED_MACROPHAGE_UP,GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP
1286,GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_UP,GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE38681_WT_VS_LYL1_KO_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP
1287,GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_UP,GSE1925_CTRL_VS_24H_IFNG_STIM_MACROPHAGE_UP,GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_UP
1288,GSE3203_UNTREATED_VS_IFNB_TREATED_LN_BCELL_UP,GSE13229_IMM_VS_MATURE_NKCELL_UP,GSE9960_GRAM_NEG_VS_GRAM_POS_SEPSIS_PBMC_UP
1289,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP,GSE20152_SPHK1_KO_VS_HTNFA_OVEREXPRESS_ANKLE_UP,GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP
1290,GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_UP,GSE21063_WT_VS_NFATC1_KO_3H_ANTI_IGM_STIM_BCELL_UP,GO_RESPONSE_TO_AMMONIUM_ION
1291,GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP,GSE26030_TH1_VS_TH17_DAY5_POST_POLARIZATION_UP,GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP
1292,GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP,GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL10_KO_MACROPHAGE_45MIN_UP,GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION
1293,GSE17721_POLYIC_VS_GARDIQUIMOD_2H_BMDC_UP,GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_72H_TSST_ACT_UP,GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP
1294,GO_EPITHELIAL_CELL_PROLIFERATION,GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP,GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_UP
1295,GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP,GSE23505_UNTREATED_VS_4DAY_IL6_IL1_IL23_TREATED_CD4_TCELL_UP,GSE16385_UNTREATED_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP
1296,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP,GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_UP,GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP
1297,GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP,GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP,GSE36009_WT_VS_NLRP10_KO_DC_UP
1298,GSE22611_UNSTIM_VS_2H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP,GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP,GSE1925_3H_VS_24H_IFNG_STIM_IFNG_PRIMED_MACROPHAGE_UP
1299,GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING,GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP,GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_UP
1300,GO_SOMITE_DEVELOPMENT,GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,GSE6681_DELETED_FOXP3_VS_WT_TREG_UP
1301,GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,GSE8921_3H_VS_24H_TLR1_2_STIM_MONOCYTE_UP,GSE36527_CD62L_HIGH_CD69_NEG_VS_CD62L_LOW_CD69_POS_TREG_KLRG1_NEG_UP
1302,GO_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GSE16385_UNTREATED_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP,GO_NEGATIVE_REGULATION_OF_CELL_DIVISION
1303,GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE29949_MICROGLIA_BRAIN_VS_MONOCYTE_BONE_MARROW_UP,GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP
1304,GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP,GSE23568_ID3_TRANSDUCED_VS_ID3_KO_CD8_TCELL_UP,GSE44649_WT_VS_MIR155_KO_ACTIVATED_CD8_TCELL_UP
1305,GO_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP,GO_CELL_CELL_JUNCTION_ASSEMBLY
1306,GSE20715_WT_VS_TLR4_KO_6H_OZONE_LUNG_UP,GSE17721_LPS_VS_POLYIC_6H_BMDC_UP,GSE5099_MONOCYTE_VS_ALTERNATIVE_M2_MACROPHAGE_UP
1307,GSE31622_WT_VS_KLF3_KO_BCELL_UP,GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP,GO_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY
1308,GO_REGULATION_OF_NEUROTRANSMITTER_SECRETION,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP,GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_UP
1309,GSE45365_WT_VS_IFNAR_KO_BCELL_MCMV_INFECTION_UP,GSE22589_HIV_VS_HIV_AND_SIV_INFECTED_DC_UP,GSE39864_WT_VS_GATA3_KO_TREG_UP
1310,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP,GSE17721_CTRL_VS_CPG_12H_BMDC_UP,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP
1311,GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP,GSE17721_CTRL_VS_POLYIC_8H_BMDC_UP,GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_UP
1312,GO_MESODERM_MORPHOGENESIS,GSE17721_LPS_VS_CPG_8H_BMDC_UP,GSE45365_NK_CELL_VS_BCELL_UP
1313,GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4MID_BCELL_UP,GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP,GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_UP
1314,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GO_PROTEIN_TRANSMEMBRANE_TRANSPORT,GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_UP
1315,GSE14350_IL2RB_KO_VS_WT_TEFF_UP,GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP,GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP
1316,GSE3982_DC_VS_NKCELL_UP,GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION,GSE45365_WT_VS_IFNAR_KO_BCELL_UP
1317,GSE15930_STIM_VS_STIM_AND_IL12_48H_CD8_T_CELL_UP,GSE2706_UNSTIM_VS_8H_LPS_DC_UP,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_IMPORT
1318,GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_24H_INCUBATION_UP,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE27786_BCELL_VS_NKCELL_UP
1319,GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP,GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP,GSE22589_HEALTHY_VS_HIV_INFECTED_DC_UP
1320,GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_DC_UP,GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY
1321,GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_UP,GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_72H_CD8_T_CELL_UP,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION
1322,GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE22432_UNTREATED_VS_TGFB1_TREATED_COMMON_DC_PROGENITOR_UP,KAECH_NAIVE_VS_DAY15_EFF_CD8_TCELL_UP
1323,GO_MYELOID_LEUKOCYTE_DIFFERENTIATION,GSE17721_CTRL_VS_GARDIQUIMOD_8H_BMDC_UP,GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP
1324,GO_ENDODERM_FORMATION,GSE17721_PAM3CSK4_VS_GADIQUIMOD_0.5H_BMDC_UP,GO_REGULATION_OF_JUN_KINASE_ACTIVITY
1325,GO_GLAND_MORPHOGENESIS,GO_POLYSACCHARIDE_METABOLIC_PROCESS,GO_REGULATION_OF_INTERLEUKIN_8_PRODUCTION
1326,GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP,GSE40068_CXCR5NEG_BCL6NEG_CD4_TCELL_VS_CXCR5POS_BCL6NEG_TFH_UP,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_UP
1327,GSE20366_TREG_VS_TCONV_UP,GSE2706_R848_VS_LPS_2H_STIM_DC_UP,GO_MOLTING_CYCLE
1328,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_4H_UP,GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_UP,GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_UP
1329,GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP,GSE360_DC_VS_MAC_M_TUBERCULOSIS_UP,GO_HEART_PROCESS
1330,GSE21379_TFH_VS_NON_TFH_CD4_TCELL_UP,GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP,GSE26023_PHD3_KO_VS_WT_NEUTROPHIL_HYPOXIA_UP
1331,GSE17721_0.5H_VS_24H_CPG_BMDC_UP,GO_SYNAPTIC_VESICLE_CYCLE,GO_ACTIN_FILAMENT_BASED_MOVEMENT
1332,GO_EXECUTION_PHASE_OF_APOPTOSIS,GSE17721_CTRL_VS_GARDIQUIMOD_4H_BMDC_UP,GSE19401_PAM2CSK4_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_UP
1333,GO_FEMALE_GAMETE_GENERATION,GSE7460_CTRL_VS_TGFB_TREATED_ACT_FOXP3_HET_TCONV_UP,GSE360_L_MAJOR_VS_M_TUBERCULOSIS_MAC_UP
1334,GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_UP,GO_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP
1335,GO_REGULATION_OF_GLUCOSE_IMPORT,GSE17721_LPS_VS_POLYIC_0.5H_BMDC_UP,GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_RESTING_CD4_TCELL_UP
1336,GSE32423_IL7_VS_IL4_MEMORY_CD8_TCELL_UP,GSE17721_0.5H_VS_8H_PAM3CSK4_BMDC_UP,GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS
1337,GSE36009_WT_VS_NLRP10_KO_DC_LPS_STIM_UP,GO_ENERGY_RESERVE_METABOLIC_PROCESS,GO_EPITHELIAL_TO_MESENCHYMAL_TRANSITION
1338,GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP,GSE3982_CTRL_VS_LPS_48H_DC_UP,GSE40274_LEF1_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP
1339,GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP,GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_UP
1340,GSE41867_DAY15_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP,GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_UP,GSE6674_UNSTIM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP
1341,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_UP,GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_UP
1342,GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP,GSE38681_WT_VS_LYL1_KO_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP,GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP
1343,GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_UP,GO_MULTICELLULAR_ORGANISM_METABOLIC_PROCESS,GSE43955_10H_VS_30H_ACT_CD4_TCELL_UP
1344,GO_CELL_CELL_JUNCTION_ASSEMBLY,GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP,GSE32164_RESTING_DIFFERENTIATED_VS_ALTERNATIVELY_ACT_M2_MACROPHAGE_UP
1345,GO_OLIGOSACCHARIDE_METABOLIC_PROCESS,GSE23505_IL6_IL1_VS_IL6_IL1_IL23_TREATED_CD4_TCELL_UP,GO_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS
1346,GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP,GO_REGULATION_OF_POTASSIUM_ION_TRANSPORT,GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_UP
1347,GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_UP,GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP,GO_MITOTIC_DNA_INTEGRITY_CHECKPOINT
1348,GSE24972_WT_VS_IRF8_KO_MARGINAL_ZONE_SPLEEN_BCELL_UP,GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP,GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP
1349,GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_UP,GSE360_L_MAJOR_VS_T_GONDII_DC_UP,GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP
1350,GO_POSITIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION,GSE15330_HSC_VS_PRO_BCELL_UP,GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP
1351,GSE43955_10H_VS_60H_ACT_CD4_TCELL_UP,GSE12366_GC_VS_NAIVE_BCELL_UP,GO_REGULATION_OF_CARDIAC_CONDUCTION
1352,GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_UP,GSE17721_LPS_VS_PAM3CSK4_2H_BMDC_UP,GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_UP
1353,GO_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVITY,GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_UP,GSE17721_POLYIC_VS_CPG_6H_BMDC_UP
1354,GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP,GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_UP,GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_UP
1355,GO_MUSCLE_ORGAN_MORPHOGENESIS,GSE21546_WT_VS_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP
1356,GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP,GSE17721_LPS_VS_GARDIQUIMOD_6H_BMDC_UP,GSE13229_MATURE_VS_INTMATURE_NKCELL_UP
1357,GSE20715_0H_VS_6H_OZONE_TLR4_KO_LUNG_UP,GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_RESTING_CD4_TCELL_UP,GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP
1358,GO_REGULATION_OF_CATION_CHANNEL_ACTIVITY,GO_PURINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS,GSE17721_POLYIC_VS_GARDIQUIMOD_8H_BMDC_UP
1359,GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT,GSE3982_MAST_CELL_VS_NKCELL_UP,GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_TREATED_CD4_TCELL_UP
1360,GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_6H_UP,GO_POSITIVE_REGULATION_OF_STAT_CASCADE
1361,GSE21670_UNTREATED_VS_IL6_TREATED_CD4_TCELL_UP,GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP
1362,GSE17721_CTRL_VS_CPG_6H_BMDC_UP,GO_LYMPHOCYTE_HOMEOSTASIS,GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_UP
1363,GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_MAC_UP,GSE46143_CTRL_VS_LMP2A_TRANSDUCED_CD10_POS_GC_BCELL_UP,GSE18893_TCONV_VS_TREG_2H_CULTURE_UP
1364,GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP,GSE17721_0.5H_VS_8H_POLYIC_BMDC_UP,GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_UP
1365,GSE17721_LPS_VS_POLYIC_0.5H_BMDC_UP,GSE20151_CTRL_VS_FUSOBACT_NUCLEATUM_NEUTROPHIL_UP,GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP
1366,GO_GOLGI_ORGANIZATION,GSE5463_CTRL_VS_DEXAMETHASONE_TREATED_THYMOCYTE_UP,GSE3982_DC_VS_MAC_UP
1367,GO_POSITIVE_REGULATION_OF_CAMP_METABOLIC_PROCESS,GO_PROTEIN_COMPLEX_LOCALIZATION,GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP
1368,GSE5589_WT_VS_IL6_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP,GSE22103_LPS_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_UP,GSE17721_POLYIC_VS_PAM3CSK4_8H_BMDC_UP
1369,GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_UP,GSE17721_4_VS_24H_CPG_BMDC_UP,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP
1370,GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_UP,GSE30083_SP1_VS_SP3_THYMOCYTE_UP,GSE21927_SPLEEN_VS_4T1_TUMOR_MONOCYTE_BALBC_UP
1371,GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,GSE17186_NAIVE_VS_CD21LOW_TRANSITIONAL_BCELL_CORD_BLOOD_UP,GO_RETINA_HOMEOSTASIS
1372,GSE11924_TH2_VS_TH17_CD4_TCELL_UP,GSE36392_TYPE_2_MYELOID_VS_EOSINOPHIL_IL25_TREATED_LUNG_UP,GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP
1373,GO_OOGENESIS,GSE24142_ADULT_VS_FETAL_DN2_THYMOCYTE_UP,GSE17721_LPS_VS_CPG_8H_BMDC_UP
1374,GSE37416_CTRL_VS_0H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP,GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_UP
1375,GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_UP,GSE17721_CTRL_VS_LPS_4H_BMDC_UP,GSE3039_B2_VS_B1_BCELL_UP
1376,GSE18893_CTRL_VS_TNF_TREATED_TREG_2H_UP,GSE21063_WT_VS_NFATC1_KO_BCELL_UP,GSE5542_IFNA_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP
1377,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_UP,GSE19401_UNSTIM_VS_PAM2CSK4_STIM_FOLLICULAR_DC_UP,GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP
