,b,t
1136,GSE6259_CD4_TCELL_VS_CD8_TCELL_UP,GO_NEURAL_TUBE_FORMATION
1137,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_UP,GO_GLIAL_CELL_DEVELOPMENT
1138,GO_AMIDE_TRANSPORT,GSE22025_UNTREATED_VS_TGFB1_TREATED_CD4_TCELL_UP
1139,GO_HOMOTYPIC_CELL_CELL_ADHESION,GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_UP
1140,GSE11924_TFH_VS_TH1_CD4_TCELL_UP,GO_VESICLE_COATING
1141,GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP,GSE39820_CTRL_VS_IL1B_IL6_CD4_TCELL_UP
1142,GO_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION,GO_SNRNA_METABOLIC_PROCESS
1143,GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_180MIN_UP,GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP
1144,GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP,GSE27786_LIN_NEG_VS_NKTCELL_UP
1145,GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS
1146,GO_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,GSE36078_UNTREATED_VS_AD5_T425A_HEXON_INF_IL1R_KO_MOUSE_LUNG_DC_UP
1147,GO_ADULT_LOCOMOTORY_BEHAVIOR,GSE23321_CD8_STEM_CELL_MEMORY_VS_EFFECTOR_MEMORY_CD8_TCELL_UP
1148,GO_CELL_CELL_RECOGNITION,GO_NEGATIVE_REGULATION_OF_DNA_REPLICATION
1149,GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY,GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_UP
1150,GSE6259_DEC205_POS_DC_VS_CD4_TCELL_UP,GO_MICROTUBULE_BUNDLE_FORMATION
1151,GO_FOREBRAIN_CELL_MIGRATION,GO_LIPID_OXIDATION
1152,GO_MYELOID_LEUKOCYTE_MIGRATION,GO_ACTIVATION_OF_GTPASE_ACTIVITY
1153,GO_ACTION_POTENTIAL,GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP
1154,GO_ARTERY_MORPHOGENESIS,GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_UP
1155,GSE2585_THYMIC_DC_VS_THYMIC_MACROPHAGE_UP,GSE17721_CTRL_VS_PAM3CSK4_0.5H_BMDC_UP
1156,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP,GO_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION
1157,GO_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP
1158,GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP,GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1
1159,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_UP,GO_REGULATION_OF_BMP_SIGNALING_PATHWAY
1160,GO_REGULATION_OF_GLIOGENESIS,GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_UP
1161,GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,GSE20366_EX_VIVO_VS_DEC205_CONVERSION_UP
1162,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP
1163,GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_UP,GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_UP
1164,GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION,GO_ENERGY_RESERVE_METABOLIC_PROCESS
1165,GO_MULTICELLULAR_ORGANISMAL_MACROMOLECULE_METABOLIC_PROCESS,GO_DETECTION_OF_MECHANICAL_STIMULUS
1166,GO_NERVE_DEVELOPMENT,GO_SENSORY_PERCEPTION_OF_TASTE
1167,GSE4142_NAIVE_VS_GC_BCELL_UP,GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP
1168,GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_NAIVE_CD4_TCELL_UP,GO_REGULATION_OF_LYASE_ACTIVITY
1169,GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP,GSE24210_IL35_TREATED_VS_UNTREATED_TCONV_CD4_TCELL_UP
1170,GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_UP,GO_REGULATION_OF_VIRAL_GENOME_REPLICATION
1171,GSE3039_ALPHAALPHA_CD8_TCELL_VS_B1_BCELL_UP,GO_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS
1172,GSE339_CD4POS_VS_CD8POS_DC_UP,GSE17721_CPG_VS_GARDIQUIMOD_0.5H_BMDC_UP
1173,GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP,GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_UP
1174,GO_SMOOTHENED_SIGNALING_PATHWAY,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP
1175,GO_DIGESTIVE_SYSTEM_PROCESS,GO_NEURAL_PRECURSOR_CELL_PROLIFERATION
1176,GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDC_UP,GO_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS
1177,GSE22611_NOD2_VS_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP,GSE27786_LIN_NEG_VS_NEUTROPHIL_UP
1178,GSE22527_ANTI_CD3_INVIVO_VS_UNTREATED_MOUSE_TREG_UP,GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP
1179,GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_UP,GO_ESTABLISHMENT_OF_CELL_POLARITY
1180,GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP,GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP
1181,GO_CELLULAR_KETONE_METABOLIC_PROCESS,GSE17721_POLYIC_VS_CPG_4H_BMDC_UP
1182,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_UP,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP
1183,GSE20198_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_UP,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_UP
1184,GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE24972_WT_VS_IRF8_KO_SPLEEN_FOLLICULAR_BCELL_UP
1185,GSE3982_MAC_VS_BCELL_UP,GSE21379_WT_VS_SAP_KO_CD4_TCELL_UP
1186,GO_FACE_DEVELOPMENT,GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP
1187,GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_UP,GSE18893_TCONV_VS_TREG_2H_CULTURE_UP
1188,GO_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,GO_ERAD_PATHWAY
1189,GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_UP,GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_UP
1190,GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,GO_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS
1191,GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,GO_ENDODERM_DEVELOPMENT
1192,GSE8835_HEALTHY_VS_CLL_CD8_TCELL_UP,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP
1193,GO_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY,GO_NEGATIVE_REGULATION_OF_HORMONE_SECRETION
1194,GSE8921_3H_VS_24H_TLR1_2_STIM_MONOCYTE_UP,GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_UP
1195,GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,GO_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION
1196,GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GSE21063_WT_VS_NFATC1_KO_3H_ANTI_IGM_STIM_BCELL_UP
1197,GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP
1198,GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP,GSE27859_DC_VS_CD11C_INT_F480_INT_DC_UP
1199,GSE17721_CTRL_VS_LPS_24H_BMDC_UP,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP
1200,GO_REGULATION_OF_VESICLE_FUSION,GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP
1201,GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,GSE360_L_MAJOR_VS_T_GONDII_DC_UP
1202,GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP,GSE27786_LSK_VS_NKTCELL_UP
1203,GO_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP
1204,GSE17721_0.5H_VS_4H_PAM3CSK4_BMDC_UP,GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_UP
1205,GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_UP,GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP
1206,GO_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION,GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_UP
1207,GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MACROPHAGE_UP,GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_UP
1208,GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP,GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM
1209,GSE7460_FOXP3_MUT_VS_WT_ACT_WITH_TGFB_TCONV_UP,GSE17721_CTRL_VS_GARDIQUIMOD_1H_BMDC_UP
1210,GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP
1211,GO_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,GSE37301_LYMPHOID_PRIMED_MPP_VS_GRAN_MONO_PROGENITOR_UP
1212,GSE37301_LYMPHOID_PRIMED_MPP_VS_GRAN_MONO_PROGENITOR_UP,GO_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS
1213,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP,GSE17721_LPS_VS_PAM3CSK4_1H_BMDC_UP
1214,GSE17721_CTRL_VS_GARDIQUIMOD_1H_BMDC_UP,GSE7460_FOXP3_MUT_VS_WT_ACT_WITH_TGFB_TCONV_UP
1215,GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM,GSE39820_TGFBETA1_IL6_VS_TGFBETA1_IL6_IL23A_TREATED_CD4_TCELL_UP
1216,GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_UP,GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MACROPHAGE_UP
1217,GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_UP,GO_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION
1218,GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_UP,GSE1925_3H_VS_24H_IFNG_STIM_MACROPHAGE_UP
1219,GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_UP,GSE17721_0.5H_VS_4H_PAM3CSK4_BMDC_UP
1220,GSE25846_IL10_POS_VS_NEG_CD8_TCELL_DAY7_POST_CORONAVIRUS_BRAIN_UP,GO_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY
1221,GSE27786_LSK_VS_NKTCELL_UP,GSE45382_UNTREATED_VS_TGFB_TREATED_MACROPHAGES_UP
1222,GSE360_L_MAJOR_VS_T_GONDII_DC_UP,GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP
1223,GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP,GO_REGULATION_OF_VESICLE_FUSION
1224,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP,GSE17721_CTRL_VS_LPS_24H_BMDC_UP
1225,GSE27859_DC_VS_CD11C_INT_F480_INT_DC_UP,GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP
1226,GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY
1227,GSE21063_WT_VS_NFATC1_KO_3H_ANTI_IGM_STIM_BCELL_UP,GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP
1228,GO_REGULATION_OF_GLIAL_CELL_DIFFERENTIATION,GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION
1229,GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_UP,GSE8921_3H_VS_24H_TLR1_2_STIM_MONOCYTE_UP
1230,GO_NEGATIVE_REGULATION_OF_HORMONE_SECRETION,GO_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY
1231,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP,GSE8835_HEALTHY_VS_CLL_CD8_TCELL_UP
1232,GO_ENDODERM_DEVELOPMENT,GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION
1233,GO_REGULATION_OF_NITRIC_OXIDE_BIOSYNTHETIC_PROCESS,GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR
1234,GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_UP,GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_UP
1235,GO_ERAD_PATHWAY,GO_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS
1236,GSE18893_TCONV_VS_TREG_2H_CULTURE_UP,GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_UP
1237,GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GO_FACE_DEVELOPMENT
1238,GSE21379_WT_VS_SAP_KO_CD4_TCELL_UP,GSE3982_MAC_VS_BCELL_UP
1239,GSE24972_WT_VS_IRF8_KO_SPLEEN_FOLLICULAR_BCELL_UP,GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP
1240,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_T425A_HEXON_INF_UP,GSE20198_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_UP
1241,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_UP
1242,GSE17721_POLYIC_VS_CPG_4H_BMDC_UP,GO_CELLULAR_KETONE_METABOLIC_PROCESS
1243,GSE8621_LPS_STIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP,GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP
1244,GO_ESTABLISHMENT_OF_CELL_POLARITY,GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_UP
1245,GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP,GSE22527_ANTI_CD3_INVIVO_VS_UNTREATED_MOUSE_TREG_UP
1246,GSE27786_LIN_NEG_VS_NEUTROPHIL_UP,GSE22611_NOD2_VS_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP
1247,GO_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,GSE17721_CTRL_VS_GARDIQUIMOD_24H_BMDC_UP
1248,GO_NEURAL_PRECURSOR_CELL_PROLIFERATION,GO_DIGESTIVE_SYSTEM_PROCESS
1249,GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP,GO_SMOOTHENED_SIGNALING_PATHWAY
1250,GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_UP,GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP
1251,GSE17721_CPG_VS_GARDIQUIMOD_0.5H_BMDC_UP,GSE339_CD4POS_VS_CD8POS_DC_UP
1252,GO_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,GSE3039_ALPHAALPHA_CD8_TCELL_VS_B1_BCELL_UP
1253,GO_REGULATION_OF_VIRAL_GENOME_REPLICATION,GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_UP
1254,GSE24210_IL35_TREATED_VS_UNTREATED_TCONV_CD4_TCELL_UP,GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP
1255,GO_REGULATION_OF_LYASE_ACTIVITY,GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_NAIVE_CD4_TCELL_UP
1256,GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_UP,GSE4142_NAIVE_VS_GC_BCELL_UP
1257,GO_SENSORY_PERCEPTION_OF_TASTE,GO_NERVE_DEVELOPMENT
1258,GO_DETECTION_OF_MECHANICAL_STIMULUS,GO_MULTICELLULAR_ORGANISMAL_MACROMOLECULE_METABOLIC_PROCESS
1259,GO_ENERGY_RESERVE_METABOLIC_PROCESS,GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION
1260,GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_UP,GSE22886_NAIVE_VS_IGM_MEMORY_BCELL_UP
1261,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP
1262,GSE20366_EX_VIVO_VS_DEC205_CONVERSION_UP,GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT
1263,GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_UP,GO_REGULATION_OF_GLIOGENESIS
1264,GO_REGULATION_OF_BMP_SIGNALING_PATHWAY,GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_MATURE_NEURON_CELL_LINE_UP
1265,GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1,GSE5589_WT_VS_IL10_KO_LPS_STIM_MACROPHAGE_45MIN_UP
1266,GSE22443_IL2_VS_IL12_TREATED_ACT_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS
1267,GO_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_UP
1268,GSE17721_CTRL_VS_PAM3CSK4_0.5H_BMDC_UP,GSE2585_THYMIC_DC_VS_THYMIC_MACROPHAGE_UP
1269,GSE23321_EFFECTOR_MEMORY_VS_NAIVE_CD8_TCELL_UP,GO_ARTERY_MORPHOGENESIS
1270,GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP,GO_ACTION_POTENTIAL
1271,GO_ACTIVATION_OF_GTPASE_ACTIVITY,GO_MYELOID_LEUKOCYTE_MIGRATION
1272,GO_LIPID_OXIDATION,GO_FOREBRAIN_CELL_MIGRATION
1273,GO_MICROTUBULE_BUNDLE_FORMATION,GSE6259_DEC205_POS_DC_VS_CD4_TCELL_UP
1274,GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_UP,GO_EPHRIN_RECEPTOR_SIGNALING_PATHWAY
1275,GO_NEGATIVE_REGULATION_OF_DNA_REPLICATION,GO_CELL_CELL_RECOGNITION
1276,GSE23321_CD8_STEM_CELL_MEMORY_VS_EFFECTOR_MEMORY_CD8_TCELL_UP,GO_ADULT_LOCOMOTORY_BEHAVIOR
1277,GSE36078_UNTREATED_VS_AD5_T425A_HEXON_INF_IL1R_KO_MOUSE_LUNG_DC_UP,GO_REGULATION_OF_NOTCH_SIGNALING_PATHWAY
1278,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS,GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP
1279,GSE27786_LIN_NEG_VS_NKTCELL_UP,GSE20366_EX_VIVO_VS_DEC205_CONVERSION_NAIVE_CD4_TCELL_UP
1280,GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP,GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_180MIN_UP
1281,GO_SNRNA_METABOLIC_PROCESS,GO_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION
1282,GSE39820_CTRL_VS_IL1B_IL6_CD4_TCELL_UP,GSE23925_LIGHT_ZONE_VS_DARK_ZONE_BCELL_UP
1283,GO_VESICLE_COATING,GSE11924_TFH_VS_TH1_CD4_TCELL_UP
1284,GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_UP,GO_HOMOTYPIC_CELL_CELL_ADHESION
1285,GSE22025_UNTREATED_VS_TGFB1_TREATED_CD4_TCELL_UP,GO_AMIDE_TRANSPORT
1286,GO_GLIAL_CELL_DEVELOPMENT,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_UP
1287,GO_NEURAL_TUBE_FORMATION,GSE6259_CD4_TCELL_VS_CD8_TCELL_UP
1288,GSE13229_MATURE_VS_INTMATURE_NKCELL_UP,GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_UP
1289,GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_UP,GSE360_T_GONDII_VS_M_TUBERCULOSIS_MAC_UP
1290,GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA5_STIM_CD8_TCELL_UP,GSE23695_CD57_POS_VS_NEG_NK_CELL_UP
1291,GSE17721_0.5H_VS_12H_LPS_BMDC_UP,GSE40274_GATA1_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP
1292,GO_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,GSE17721_LPS_VS_POLYIC_1H_BMDC_UP
1293,GO_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GSE17721_POLYIC_VS_CPG_0.5H_BMDC_UP
1294,GSE3982_NEUTROPHIL_VS_TH1_UP,GO_REGULATION_OF_INTERLEUKIN_1_PRODUCTION
1295,GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,GSE17186_MEMORY_VS_CD21HIGH_TRANSITIONAL_BCELL_UP
1296,GO_CELL_CELL_JUNCTION_ASSEMBLY,GSE45365_NK_CELL_VS_CD11B_DC_UP
1297,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_UP,GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDC_UP
1298,GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GSE25087_TREG_VS_TCONV_FETUS_UP
1299,GSE17721_LPS_VS_CPG_12H_BMDC_UP,GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP
1300,GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP,GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4HIGH_BCELL_UP
1301,GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_UP
1302,GSE17721_POLYIC_VS_GARDIQUIMOD_2H_BMDC_UP,GSE17721_12H_VS_24H_PAM3CSK4_BMDC_UP
1303,GO_INSULIN_RECEPTOR_SIGNALING_PATHWAY,GO_MESONEPHRIC_TUBULE_MORPHOGENESIS
1304,GSE44649_WT_VS_MIR155_KO_NAIVE_CD8_TCELL_UP,GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_UNSTIM_MACROPHAGE_UP
1305,GO_MEMORY,GO_NEGATIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT
1306,GO_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR,GSE17721_12H_VS_24H_LPS_BMDC_UP
1307,GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_UP
1308,GSE27786_LIN_NEG_VS_CD4_TCELL_UP,GSE24972_WT_VS_IRF8_KO_MARGINAL_ZONE_SPLEEN_BCELL_UP
1309,GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION,GSE37301_RAG2_KO_VS_RAG2_AND_ETS1_KO_NK_CELL_UP
1310,GSE22025_PROGESTERONE_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP,GSE28737_WT_VS_BCL6_HET_FOLLICULAR_BCELL_UP
1311,GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY
1312,GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_UP,GSE17721_0.5H_VS_24H_GARDIQUIMOD_BMDC_UP
1313,GSE17721_CTRL_VS_LPS_1H_BMDC_UP,GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_UP
1314,GO_ASSOCIATIVE_LEARNING,GSE3203_WT_VS_IFNAR1_KO_INFLUENZA_INFECTED_LN_BCELL_UP
