,b,t,mono
1294,GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_UP,GO_NAD_METABOLIC_PROCESS,GSE3982_DC_VS_NEUTROPHIL_UP
1295,GO_FACE_DEVELOPMENT,GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_UP,GSE14699_NAIVE_VS_ACT_CD8_TCELL_UP
1296,GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_UP,GO_REGULATION_OF_LYASE_ACTIVITY,GO_GLAND_MORPHOGENESIS
1297,GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP,GO_RESPONSE_TO_HEAT,GSE43863_TFH_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP
1298,GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_AND_ROSIGLITAZONE_STIM_UP,GSE32128_INOS_DEPENDENT_VS_INOS_INDEPENDENT_ACTIVATED_TCELL_UP
1299,GO_GLUCAN_METABOLIC_PROCESS,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,GSE27786_NKCELL_VS_MONO_MAC_UP
1300,GSE360_L_MAJOR_VS_T_GONDII_DC_UP,GSE24574_BCL6_LOW_TFH_VS_TCONV_CD4_TCELL_UP,GSE3039_ALPHAALPHA_CD8_TCELL_VS_B2_BCELL_UP
1301,GO_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,GO_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS,GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_UP
1302,GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP,GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP,GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_UP
1303,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_UP,GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP,GO_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS
1304,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE27786_NKCELL_VS_MONO_MAC_UP,GSE2585_CTEC_VS_THYMIC_DC_UP
1305,GSE20152_SPHK1_KO_VS_HTNFA_OVEREXPRESS_ANKLE_UP,GSE31082_DN_VS_DP_THYMOCYTE_UP,GSE3982_BCELL_VS_TH1_UP
1306,GSE24210_RESTING_TREG_VS_TCONV_UP,GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1,GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP
1307,GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP,GSE36009_UNSTIM_VS_LPS_STIM_NLRP10_KO_DC_UP,GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS
1308,GO_ENDOTHELIAL_CELL_DIFFERENTIATION,GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP,GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_UP
1309,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_UP,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP
1310,GO_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION,GO_DETECTION_OF_LIGHT_STIMULUS,GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_UP
1311,GSE17721_POLYIC_VS_CPG_6H_BMDC_UP,GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_UP,GO_NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY
1312,GSE16385_MONOCYTE_VS_MACROPHAGE_UP,GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP,GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_UP
1313,GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP,GO_NUCLEOTIDE_PHOSPHORYLATION,GSE3039_NKT_CELL_VS_B2_BCELL_UP
1314,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP,GO_SPHINGOLIPID_BIOSYNTHETIC_PROCESS,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_6H_IFNA_STIM_UP
1315,GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP,GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_TREATED_CD4_TCELL_UP,GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP
1316,GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP,GSE39820_CTRL_VS_IL1B_IL6_IL23A_CD4_TCELL_UP,GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_UP
1317,GO_CELL_AGING,GSE9316_CD4_TCELL_BALBC_VS_TH17_ENRI_CD4_TCELL_SKG_PMA_IONO_STIM_FR4NEG_UP,GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_UP
1318,GSE17721_LPS_VS_GARDIQUIMOD_8H_BMDC_UP,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_6H_UP
1319,GSE27786_CD8_TCELL_VS_NKCELL_UP,GSE13306_TREG_VS_TCONV_SPLEEN_UP,GSE37301_LYMPHOID_PRIMED_MPP_VS_PRO_BCELL_UP
1320,GSE3982_DC_VS_NEUTROPHIL_UP,GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS,GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDC_UP
1321,GSE6092_UNSTIM_VS_IFNG_STIM_ENDOTHELIAL_CELL_UP,GO_DORSAL_VENTRAL_PATTERN_FORMATION,GSE3982_EOSINOPHIL_VS_MAST_CELL_UP
1322,GSE17721_PAM3CSK4_VS_GADIQUIMOD_0.5H_BMDC_UP,GO_NEGATIVE_REGULATION_OF_AXONOGENESIS,GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_UP
1323,GO_DIENCEPHALON_DEVELOPMENT,GO_NEURAL_TUBE_FORMATION,GSE24574_BCL6_HIGH_TFH_VS_TCONV_CD4_TCELL_UP
1324,GSE41867_MEMORY_VS_EXHAUSTED_CD8_TCELL_DAY30_LCMV_UP,GO_POLYOL_METABOLIC_PROCESS,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP
1325,GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP,GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP
1326,GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP,GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_4H_UP,GSE7460_WT_VS_FOXP3_HET_ACT_TCONV_UP
1327,GO_DENDRITE_DEVELOPMENT,GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP,GSE15930_STIM_VS_STIM_AND_IFNAB_48H_CD8_T_CELL_UP
1328,GO_POLYSACCHARIDE_METABOLIC_PROCESS,GSE26351_UNSTIM_VS_WNT_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP,GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP
1329,GSE40666_WT_VS_STAT1_KO_CD8_TCELL_WITH_IFNA_STIM_90MIN_UP,GSE22935_UNSTIM_VS_12H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC
1330,GO_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP
1331,GO_RESPONSE_TO_BMP,GO_CYTOKINESIS,GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP
1332,GSE40274_GATA1_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE29618_PRE_VS_DAY7_FLU_VACCINE_MONOCYTE_UP,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_UP
1333,GSE42021_TCONV_PLN_VS_CD24INT_TCONV_THYMUS_UP,GSE17721_4_VS_24H_CPG_BMDC_UP,GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_UP
1334,GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP,GSE1448_CTRL_VS_ANTI_VALPHA2_DP_THYMOCYTE_UP,GSE46606_IRF4MID_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP
1335,GSE17974_1H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP,GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GO_POSITIVE_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION
1336,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP,GSE17721_CTRL_VS_LPS_1H_BMDC_UP,GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP
1337,GO_PANCREAS_DEVELOPMENT,GO_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP
1338,GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_UP,GSE27786_CD4_VS_CD8_TCELL_UP,GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP
1339,GO_MEMORY,GO_LIPID_OXIDATION,GO_MUSCLE_ORGAN_MORPHOGENESIS
1340,GSE9037_WT_VS_IRAK4_KO_BMDM_UP,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_16H_UP,GSE12366_GC_BCELL_VS_PLASMA_CELL_UP
1341,GO_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP,GO_FOREBRAIN_CELL_MIGRATION
1342,GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP,GSE1460_DP_VS_CD4_THYMOCYTE_UP,GO_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY
1343,GO_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE,GSE27786_LSK_VS_LIN_NEG_CELL_UP,GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP
1344,GO_BODY_FLUID_SECRETION,GO_CELLULAR_RESPONSE_TO_IONIZING_RADIATION,GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP
1345,GSE8515_IL1_VS_IL6_4H_STIM_MAC_UP,GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_6H_UP,GSE40441_NRP1_POS_INDUCED_TREG_VS_NRP1_NEG_NATURAL_TREG_UP
1346,GSE39820_TGFBETA3_IL6_VS_TGFBETA3_IL6_IL23A_TREATED_CD4_TCELL_UP,GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP,GSE36009_UNSTIM_VS_LPS_STIM_NLRP10_KO_DC_UP
1347,GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_UP,GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS,GSE46025_WT_VS_FOXO1_KO_KLRG1_LOW_CD8_EFFECTOR_TCELL_UP
1348,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT,GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY3_UP
1349,GSE22342_CD11C_HIGH_VS_LOW_DECIDUAL_MACROPHAGES_UP,GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_UP,GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_UP
1350,GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,GSE17721_0.5H_VS_8H_POLYIC_BMDC_UP,GO_NEGATIVE_REGULATION_OF_AUTOPHAGY
1351,GO_REGULATION_OF_CARDIAC_CONDUCTION,GSE40274_FOXP3_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE22601_DOUBLE_NEGATIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP
1352,GO_VENTRICULAR_SEPTUM_DEVELOPMENT,GSE22025_UNTREATED_VS_TGFB1_TREATED_CD4_TCELL_UP,GSE29618_PRE_VS_DAY7_FLU_VACCINE_BCELL_UP
1353,GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,GO_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP
1354,GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP,GO_OUTFLOW_TRACT_MORPHOGENESIS,GSE28737_WT_VS_BCL6_KO_FOLLICULAR_BCELL_UP
1355,GSE32533_WT_VS_MIR17_OVEREXPRESS_ACT_CD4_TCELL_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_UP,GSE18893_CTRL_VS_TNF_TREATED_TCONV_24H_UP
1356,GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_UP,GSE9960_GRAM_NEG_VS_GRAM_POS_SEPSIS_PBMC_UP,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_MULTIPOTENT_PROGENITOR_UP
1357,GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_MDC_UP,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP
1358,GSE25087_TREG_VS_TCONV_FETUS_UP,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_UP,GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP
1359,GO_RESPONSE_TO_ZINC_ION,GO_HORMONE_TRANSPORT,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL
1360,GSE46242_TH1_VS_ANERGIC_TH1_CD4_TCELL_WITH_EGR2_DELETED_UP,GSE5589_WT_VS_IL6_KO_LPS_STIM_MACROPHAGE_45MIN_UP,GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP
1361,GSE8685_IL2_ACT_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_UP,GSE3691_IFN_PRODUCING_KILLER_DC_VS_PLASMACYTOID_DC_SPLEEN_UP,GO_CHLORIDE_TRANSPORT
1362,GSE40274_XBP1_VS_FOXP3_AND_XBP1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE360_L_DONOVANI_VS_L_MAJOR_DC_UP,GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP
1363,GSE32423_CTRL_VS_IL7_IL4_MEMORY_CD8_TCELL_UP,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP,GSE3039_B2_VS_B1_BCELL_UP
1364,GSE3982_BASOPHIL_VS_TH2_UP,GSE23505_IL6_IL1_VS_IL6_IL1_IL23_TREATED_CD4_TCELL_UP,GO_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS
1365,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP,GO_ENDODERM_DEVELOPMENT,GSE30153_LUPUS_VS_HEALTHY_DONOR_BCELL_UP
1366,GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_UP,GSE40274_GATA1_VS_FOXP3_AND_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS
1367,GSE44955_MCSF_VS_MCSF_AND_IL27_STIM_MACROPHAGE_UP,GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS,GSE19512_NAUTRAL_VS_INDUCED_TREG_UP
1368,GSE36078_UNTREATED_VS_AD5_T425A_HEXON_INF_MOUSE_LUNG_DC_UP,GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_UP,GSE45365_CD8A_DC_VS_CD11B_DC_UP
1369,GSE22589_HEALTHY_VS_SIV_INFECTED_DC_UP,GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GSE5542_UNTREATED_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP
1370,GSE27786_LSK_VS_NEUTROPHIL_UP,GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_UP,GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP
1371,GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_UP,GSE411_UNSTIM_VS_400MIN_IL6_STIM_MACROPHAGE_UP,GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_UP
1372,GSE23505_IL6_IL1_IL23_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP,GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,GSE13493_DP_VS_CD8POS_THYMOCYTE_UP
1373,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP,GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_UP,GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP
1374,GSE22033_UNTREATED_VS_MRL24_TREATED_MEF_UP,GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_UP,GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_UP
1375,GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_UP,GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE9037_WT_VS_IRAK4_KO_BMDM_UP
1376,GSE25088_WT_VS_STAT6_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP,GSE2585_THYMIC_DC_VS_MTEC_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_0.5H_BMDC_UP
1377,GSE43863_NAIVE_VS_MEMORY_TH1_CD4_TCELL_D150_LCMV_UP,GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_UP,GSE3203_HEALTHY_VS_INFLUENZA_INFECTED_LN_BCELL_UP
1378,GO_ENDODERM_DEVELOPMENT,GO_BIOMINERAL_TISSUE_DEVELOPMENT,GSE17721_CTRL_VS_LPS_2H_BMDC_UP
1379,GSE3982_EOSINOPHIL_VS_TH1_UP,GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_UP,GSE22601_DOUBLE_NEGATIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP
1380,GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_UP,GSE22103_UNSTIM_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_UP,GSE24210_IL35_TREATED_VS_UNTREATED_TCONV_CD4_TCELL_UP
1381,GO_REGULATION_OF_LIPID_TRANSPORT,GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_6H_UP,GO_OVULATION_CYCLE_PROCESS
1382,GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP,GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_UP,GSE26928_CENTR_MEMORY_VS_CXCR5_POS_CD4_TCELL_UP
1383,GSE2128_CTRL_VS_MIMETOPE_NEGATIVE_SELECTION_DP_THYMOCYTE_C57BL6_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP,GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP
1384,GO_REGULATION_OF_PHAGOCYTOSIS,GSE17721_0.5H_VS_8H_PAM3CSK4_BMDC_UP,GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_UP
1385,GO_REGULATION_OF_GLIOGENESIS,GO_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,GO_BODY_FLUID_SECRETION
1386,GSE13306_TREG_RA_VS_TCONV_RA_UP,GSE12198_NK_VS_NK_ACT_EXPANSION_SYSTEM_DERIVED_NK_CELL_UP,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_UP
1387,GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP,GSE40277_EOS_AND_LEF1_TRANSDUCED_VS_GATA1_AND_SATB1_TRANSDUCED_CD4_TCELL_UP,GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP
1388,GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA2_STIM_CD8_TCELL_UP,GO_TETRAPYRROLE_METABOLIC_PROCESS,GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_UP
1389,GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_UP,GO_LEUKOCYTE_PROLIFERATION,GO_TRANSLATIONAL_TERMINATION
1390,GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_UP,GSE16385_UNTREATED_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP,GO_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE
1391,GO_REGULATION_OF_CATION_CHANNEL_ACTIVITY,GSE17721_PAM3CSK4_VS_CPG_6H_BMDC_UP,GSE46242_CTRL_VS_EGR2_DELETED_TH1_CD4_TCELL_UP
1392,GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP,GSE2826_WT_VS_XID_BCELL_UP,GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP
1393,GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_UP,GSE21927_SPLENIC_C26GM_TUMOROUS_VS_4T1_TUMOR_MONOCYTES_UP,GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_45MIN_UP
1394,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP,GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP,GO_SYNAPTIC_VESICLE_CYCLE
1395,GSE14308_INDUCED_VS_NATURAL_TREG_UP,GSE17721_0.5H_VS_4H_LPS_BMDC_UP,GSE18281_MEDULLARY_THYMOCYTE_VS_WHOLE_MEDULLA_THYMUS_UP
1396,GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP,GSE22601_DOUBLE_NEGATIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP,GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP
1397,GO_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,GSE15324_NAIVE_VS_ACTIVATED_CD8_TCELL_UP,GSE17721_CTRL_VS_GARDIQUIMOD_4H_BMDC_UP
1398,GO_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,GO_ORGAN_GROWTH
1399,GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TCONV_UP,GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP,GSE20152_SPHK1_KO_VS_HTNFA_OVEREXPRESS_ANKLE_UP
1400,GSE17721_12H_VS_24H_CPG_BMDC_UP,GO_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE,GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP
1401,GO_REGULATION_OF_TISSUE_REMODELING,GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP,GSE16385_MONOCYTE_VS_12H_IL4_TREATED_MACROPHAGE_UP
1402,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP,GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP,GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_UP
1403,GO_POSITIVE_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS,GSE26912_TUMORICIDAL_VS_CTRL_MACROPHAGE_UP,GSE21033_CTRL_VS_POLYIC_STIM_DC_1H_UP
1404,GSE44649_WT_VS_MIR155_KO_ACTIVATED_CD8_TCELL_UP,GSE43957_UNTREATED_VS_NACL_TREATED_ANTI_CD3_CD28_STIM_CD4_TCELL_UP,GO_POSITIVE_REGULATION_OF_LIPASE_ACTIVITY
1405,GSE20484_MCSG_VS_CXCL4_MONOCYTE_DERIVED_MACROPHAGE_UP,GO_RESPONSE_TO_PROGESTERONE,GO_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS
1406,GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_UP,GSE2706_UNSTIM_VS_8H_LPS_DC_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_UP
1407,GSE17721_LPS_VS_CPG_24H_BMDC_UP,GO_ASSOCIATIVE_LEARNING,GO_RESPONSE_TO_OSMOTIC_STRESS
1408,GSE8921_3H_VS_24H_TLR1_2_STIM_MONOCYTE_UP,GSE17721_LPS_VS_POLYIC_24H_BMDC_UP,GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP
1409,GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_UP,GO_CELLULAR_RESPONSE_TO_KETONE,GSE27786_LSK_VS_BCELL_UP
